        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1403715529262,0.598429,2.036416,1.158659,179.32270149490003,-69.09272615305012,-27.133917598932598,0.00273887019362,0.0465339422501,0.119502873474,178.3243904711364,-70.6967414848218,-1.6031113079094885,0.5949544905176546,2.112800427816363,1.2979155892582535,-178.49954114699665,-73.13182685944281,-11.355540569148346,
1403715529362,0.61596,2.048048,1.197336,178.91264476688423,-68.32898252235304,-24.478901577275092,-0.0078078740942,0.0512018413034,0.12423956778,-179.2287102255493,-68.37420558121856,1.3514106711956801,0.5844544752013247,2.117517942296063,1.3027066335164095,-176.9917296305677,-70.70167768723904,-7.541698322437552,
1403715529462,0.636248,2.059395,1.228895,178.3098613630861,-68.21002653878502,-21.639891358125407,-0.010570678911,0.0689392249399,0.131519005636,171.5418819715412,-66.09093800295894,3.147247723096971,0.5822660589928946,2.134517823270026,1.311731763188234,171.84117977724355,-68.92994913701622,-3.77408991919081,
1403715529562,0.659287,2.07023,1.252363,177.8905278186489,-68.33727456118598,-19.563670539573813,-0.00370248885331,0.0844552788114,0.140210669678,167.164461787946,-65.90474628732674,4.844613954232034,0.5895109038733133,2.1486341994091807,1.322300828122627,166.8590367670252,-68.94963100246896,-1.4262253769868574,
1403715529662,0.684245,2.080816,1.268489,177.46899449663476,-68.66337186534132,-17.97456153656011,0.0277590182007,0.112621518842,0.15298723174,152.15381558931855,-66.9398833992084,5.918378367920259,0.6217476974457603,2.173530430933637,1.3392528438653968,149.8452204823642,-70.52840491114841,1.8534870931315268,
1403715529762,0.711914,2.092386,1.282884,176.29493516695453,-68.8346756110663,-15.902606114315521,0.055809400465,0.13607659256,0.175149064119,143.25940612641074,-66.31505569706721,6.512305904179807,0.6499210870110584,2.1929507672269954,1.3648891833338133,139.2799655802383,-70.09970506830324,4.231150860016061,
1403715529862,0.741538,2.105394,1.300957,176.44922808452458,-69.02896613079211,-15.40103467956747,0.0807852945063,0.13983923564,0.18422810549,143.99477576821445,-65.72336901740047,6.967980545347967,0.6746213337487922,2.1943602888873213,1.3752955668607734,140.07542654528018,-69.49640957600701,4.6121928062017705,
1403715529962,0.772285,2.120046,1.323772,177.22630223875433,-69.54301896761987,-15.728510370766282,0.112570745929,0.14059432481,0.193889528758,144.8257596544722,-66.31600904988979,7.572635993443355,0.7059374997594994,2.19234789329425,1.386226083396132,141.12580526793354,-70.07395902420475,4.990423165230458,
1403715530062,0.803927,2.13547,1.351244,175.62774018594888,-70.53142570336615,-13.957966463508711,0.144686488455,0.15354225519,0.214650233446,142.8674012351402,-67.11805343280791,10.505867848671157,0.7376994772024317,2.2012587527928793,1.4095037561787438,138.91209513739884,-70.90824788728926,8.211410714202138,
1403715530162,0.834792,2.153868,1.382883,172.48059409215807,-71.17750246812777,-10.910320805528556,0.180352996743,0.169507356638,0.239986462538,139.8532918944362,-67.1114815793807,13.569658247420863,0.77295058415383,2.212489830991446,1.437790345289203,135.32665169988505,-70.94236821015267,11.8869455289505,
1403715530262,0.864036,2.177628,1.422437,170.21910979465449,-70.39589990224768,-8.858016813938708,0.217036145801,0.192111563151,0.27191214604,139.4305306016722,-66.16599845473563,14.054538389091471,0.8092547636229102,2.2295653925385395,1.4733752380794294,134.74620352032923,-70.00193986475652,12.530786868024164,
1403715530362,0.893599,2.20816,1.475806,170.39202160102278,-69.77395938820504,-9.158973017540536,0.254606904301,0.226481706554,0.31560163252,140.7000446042842,-65.99067452186465,13.252862474727243,0.8465093474696245,2.25703989336485,1.5219436194344573,136.22940360581757,-69.81195050978793,11.496646218515759,
1403715530462,0.924487,2.245461,1.541009,173.325221403565,-69.57193682972307,-11.751757603750118,0.294669627664,0.276417121278,0.370571002266,143.58378846672755,-66.82445087017821,11.356720519506863,0.886528615316795,2.2986484858081333,1.5834853312489312,139.72515189060223,-70.60340567158144,8.953934932697912,
1403715530562,0.9568,2.28751,1.608051,174.98674616381686,-69.47801355655938,-12.47123240637946,0.327869316223,0.330802130939,0.424884983959,145.99141354640176,-67.30178782224141,10.879034595449822,0.9199547011400304,2.3451214773527496,1.6445829175107547,142.6458675520412,-71.03649601125467,7.93491005098903,
1403715530662,0.988997,2.332073,1.664157,176.0804850256482,-69.58854890829072,-12.656737989573276,0.352659387765,0.381915477941,0.465721561585,147.8802049404047,-67.7335433891184,10.992449797635985,0.9454315567129705,2.390223445028285,1.691609402632642,144.96156356885467,-71.42770181192583,7.600985907978302,
1403715530762,1.021135,2.378709,1.708639,177.16671366261502,-69.64195176688264,-12.619907087592054,0.381234211093,0.428304215729,0.494548835154,149.5553165655957,-67.85050823099142,11.118152411468197,0.9749862306582129,2.4316870407554023,1.7263475473813306,146.97251755375564,-71.50502310238386,7.370873084987178,
1403715530862,1.054027,2.427734,1.75016,178.14059888525995,-69.62228020093706,-11.73182064744641,0.410864702558,0.475190605446,0.51955739749,151.27420325532924,-67.76445270640544,11.850312798513071,1.0057910781327601,2.4739877176397926,1.7573869072725672,148.98916145379002,-71.37491581835475,7.782821496529403,
1403715530962,1.087424,2.477037,1.790593,178.09185861231893,-69.43304326645998,-10.0049969410938,0.438571141028,0.520519973703,0.541055455153,152.29271133423126,-67.40090845434591,13.112861812197016,1.0347555941900553,2.51521675841987,1.784696023854282,150.10893505940732,-70.98435946191597,8.927004885984822,
1403715531062,1.121152,2.525826,1.826511,178.74015563428216,-67.8109025745043,-9.343775093940199,0.465835167455,0.564961257923,0.558400596167,155.11937610350333,-65.91578318465544,12.015093821781898,1.0634207031089729,2.5560243754599927,1.807766756809778,153.07875252326343,-69.4196248850241,7.630252628537023,
1403715531162,1.156476,2.574474,1.856772,179.80930598146986,-65.31766659455891,-9.47690927181871,0.497336113434,0.607633444289,0.574170386973,158.5347846639172,-63.749225849058135,9.70332944818408,1.0962945834869677,2.595007824505501,1.8292495424369042,156.53854226992894,-67.14690456303178,5.195389443283617,
1403715531262,1.198487,2.621906,1.885683,-175.5064380590172,-64.61413467037556,-13.194966172710464,0.537721771102,0.654490566641,0.592793043872,163.5970795476785,-64.03009841483036,5.795035684716991,1.1381157875995194,2.63735863377138,1.8543650844670199,162.32721057375096,-67.2362270419294,0.4966472392871913,
1403715531362,1.24887,2.664049,1.91848,-171.40016805435025,-66.41351536288151,-16.623297063845495,0.58783148011,0.690759312394,0.610455594621,166.28431595317872,-66.28152372890513,4.30663753829137,1.189147374913538,2.668761862770489,1.877774160889732,165.978085198787,-69.36306362639701,-1.9455378440369913,
1403715531462,1.302495,2.698842,1.94814,-170.12138044284072,-68.06114332906338,-17.583594252938813,0.642718512547,0.721047860174,0.625820248576,166.17517884390398,-68.02468614824991,5.147212564321248,1.244746790216027,2.6942056667307797,1.8984471603230553,166.43874583327812,-71.09977838136605,-1.6391115912901824,
1403715531562,1.355882,2.726861,1.963992,-169.91291797969302,-68.98391906285701,-17.618811108393405,0.699442604925,0.744119280184,0.628243905062,165.61750737547112,-68.95501394161347,6.137983905248115,1.3023968596841518,2.713741073418982,1.905562254419043,166.15058100154653,-72.04794064537258,-0.8937884306261545,
1403715531662,1.408177,2.750171,1.966657,-168.79708250909815,-68.88552597617219,-18.550750634880774,0.762567637419,0.786372959987,0.638788191414,166.6306955439053,-69.47580902475981,5.09489434078681,1.367036388058176,2.751118869703251,1.9230538774269677,167.53778281840837,-72.5194429684144,-2.311044848453541,
