        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw,,        align_pose_x,align_pose_y,align_pose_z
1.40364E+12,4.614772,-1.828672,0.816032,-175.6116659,-70.10349918,158.2927917,0.014150296,-0.071078921,0.235048911,-177.7578215,-70.78324122,4.2937455,4.614772,-1.828672,0.816032,-175.6116659,-70.10349918,158.2927917,,4.614772,-1.828672,0.816032
1.40364E+12,4.610965,-1.825128,0.863199,-178.0159468,-71.42580916,159.9129543,0.017152804,-0.072194517,0.278823844,179.845065,-72.32852172,6.263097149,4.611769492,-1.827556404,0.859806933,181.9912207,-71.64877968,160.2621433,,4.617774509,-1.829787596,0.859806933
1.40364E+12,4.609292,-1.823567,0.906944,179.535154,-72.17054438,161.7924177,0.017557544,-0.073051905,0.319115887,177.4703439,-73.20335562,8.307334576,4.611364752,-1.826699016,0.900098975,179.6164996,-72.52361358,162.3063808,,4.618179248,-1.830644983,0.900098975
1.40364E+12,4.610414,-1.822605,0.940993,179.0468221,-72.39522376,161.926276,0.017319112,-0.075141655,0.351254273,177.8817963,-73.49162767,8.485437087,4.611603184,-1.824609266,0.932237362,180.0279519,-72.81188563,162.4844833,,4.617940816,-1.832734734,0.932237362
1.40364E+12,4.61224,-1.818754,0.951655,179.4240573,-71.99974081,161.0919074,0.019852241,-0.080375861,0.362946049,179.56664,-73.10801485,7.551023725,4.609070055,-1.81937506,0.943929138,181.7127957,-72.42827281,161.5500699,,4.620473945,-1.83796894,0.943929138
1.40364E+12,4.614639,-1.814363,0.929578,-179.5943341,-71.15150282,160.0289171,0.022879371,-0.088059056,0.344900903,-177.6190288,-72.13123307,6.285569432,4.606042925,-1.811691865,0.925883992,-175.4728731,-71.45149102,160.2846156,,4.623501075,-1.845652135,0.925883992
1.40364E+12,4.618533,-1.813117,0.881456,-177.5257499,-69.5868706,158.2166134,0.022361716,-0.09154258,0.297464372,-174.9301809,-70.48614917,4.466270353,4.60656058,-1.808208341,0.878447461,-172.7840252,-69.80640712,158.4653166,,4.62298342,-1.849135659,0.878447461
1.40364E+12,4.623504,-1.812416,0.822097,-176.4404662,-67.09372294,157.0040042,0.019960926,-0.09368073,0.239115089,-173.6287149,-67.81313356,3.51936295,4.60896137,-1.806070191,0.820098178,-171.4825593,-67.13339152,157.5184091,,4.62058263,-1.851273809,0.820098178
1.40364E+12,4.629125,-1.81338,0.765,-175.4323329,-64.36938462,155.9363021,0.014611157,-0.095074894,0.182407387,-173.0402343,-65.12578672,2.624436235,4.614311139,-1.804676027,0.763390476,-170.8940786,-64.44604467,156.6234824,,4.615232861,-1.852667973,0.763390476
1.40364E+12,4.634025,-1.814767,0.71997,-174.4783115,-62.21921645,155.2553131,0.009210705,-0.095991098,0.137078128,-172.6427471,-62.95628655,1.890788425,4.619711591,-1.803759823,0.718061217,-170.4965914,-62.27654451,155.8898346,,4.609832409,-1.853584176,0.718061217
