1573538250973176064,1.82454,0.44597,-0.04102,0.99652,-0.00374,0.00873,0.08284,
1573538251073095936,1.99148,0.47901,-0.04777,0.99647,-0.00415,0.00878,0.08334,
1573538251173016064,2.16578,0.50672,-0.05161,0.99647,-0.00315,0.00914,0.08344,
1573538251272936192,2.34293,0.53011,-0.05085,0.99641,-0.00059,0.00985,0.08413,
1573538251372865792,2.52337,0.54922,-0.04478,0.99636,0.00365,0.01005,0.08463,
1573538251472785920,2.70207,0.56917,-0.03881,0.99634,0.00735,0.00853,0.08468,
1573538251572706048,2.88192,0.59655,-0.03737,0.99629,0.00913,0.00650,0.08536,
1573538251672625920,3.06252,0.63114,-0.04129,0.99622,0.00846,0.00548,0.08632,
1573538251772546048,3.24530,0.66901,-0.04602,0.99620,0.00724,0.00493,0.08671,
1573538251872466176,3.43563,0.70313,-0.05205,0.99614,0.00643,0.00512,0.08743,
1573538251972396032,3.63163,0.73316,-0.05656,0.99605,0.00608,0.00530,0.08841,
1573538252072315904,3.82174,0.76289,-0.05673,0.99602,0.00704,0.00491,0.08871,
1573538252172236032,4.01191,0.79777,-0.06009,0.99599,0.00546,0.00443,0.08921,
1573538252272155904,4.20048,0.84097,-0.06777,0.99595,0.00233,0.00220,0.08981,
1573538252372076032,4.39857,0.88684,-0.07807,0.99587,-0.00216,0.00127,0.09073,
1573538252471996160,4.60518,0.92448,-0.08347,0.99578,-0.00318,0.00237,0.09174,
1573538252571926016,4.81443,0.95400,-0.08219,0.99570,-0.00090,0.00337,0.09257,
1573538252671845888,5.02350,0.97870,-0.07637,0.99556,0.00315,0.00455,0.09396,
1573538252771766016,5.23401,1.01080,-0.07041,0.99543,0.00598,0.00575,0.09514,
1573538252871685888,5.44402,1.05325,-0.06988,0.99532,0.00557,0.00629,0.09623,
1573538252971606016,5.65193,1.10098,-0.07281,0.99516,0.00375,0.00579,0.09803,
1573538253071526144,5.86322,1.14727,-0.07537,0.99500,0.00297,0.00462,0.09972,
1573538253171456000,6.08371,1.18921,-0.07729,0.99486,0.00414,0.00466,0.10108,
1573538253271376128,6.31322,1.23019,-0.07848,0.99467,0.00609,0.00638,0.10275,
1573538253371296000,6.53575,1.27673,-0.08112,0.99449,0.00702,0.00796,0.10433,
1573538253471215872,6.75540,1.33102,-0.08488,0.99436,0.00582,0.00773,0.10563,
1573538253571136000,6.97221,1.39002,-0.08924,0.99417,0.00315,0.00540,0.10768,
1573538253671056128,7.19924,1.44554,-0.09281,0.99395,0.00264,0.00363,0.10974,
1573538253770985984,7.43824,1.49757,-0.09469,0.99378,0.00360,0.00389,0.11119,
1573538253870906112,7.68703,1.54729,-0.09535,0.99357,0.00631,0.00512,0.11297,
1573538253970825984,7.93562,1.60003,-0.09660,0.99334,0.00819,0.00648,0.11476,
1573538254070745856,8.18090,1.65940,-0.09720,0.99317,0.00859,0.00711,0.11615,
1573538254170665984,8.42651,1.72294,-0.09834,0.99294,0.00756,0.00611,0.11822,
1573538254270586112,8.66864,1.78539,-0.09864,0.99271,0.00770,0.00354,0.12021,
1573538254370515968,8.91778,1.84742,-0.09912,0.99253,0.00878,0.00186,0.12170,
1573538254470436096,9.17656,1.90953,-0.10063,0.99231,0.00990,0.00276,0.12332,
1573538254570356224,9.43777,1.97523,-0.10333,0.99214,0.01023,0.00466,0.12466,
1573538254670275840,9.70033,2.04502,-0.10689,0.99192,0.00961,0.00518,0.12636,
1573538254770195968,9.95928,2.11187,-0.10966,0.99170,0.00981,0.00464,0.12809,
1573538254870116096,10.22304,2.17413,-0.11207,0.99151,0.01161,0.00414,0.12941,
