time,ins1000_lat,ins1000_lon,ins1000_alt,ins1000_roll,ins1000_pitch,ins1000_yaw,ins1000_ned_x,ins1000_ned_y,ins1000_ned_z,algo_pose_x,algo_pose_y,algo_pose_z,algo_roll,algo_pitch,algo_yaw,algo_vel_x,algo_vel_y,algo_vel_z,align_pose_x,align_pose_y,align_pose_z,align_roll,align_pitch,align_yaw,align_vel_x,align_vel_y,align_vel_z,algo_lat,algo_lon,algo_alt
1571030101.448,31.50768637,120.40175301999999,719.0391145773779,-0.4972208052578582,1.7167192303132965,-3.342789209487547,0.0,0.0,0.0,1.1952032795,0.0307935158489,0.0148061217225,0.8391167319832304,1.8365943343067215,-0.011698698882787727,0.9128500039215446,0.02298436343146589,0.039464314178911566,1.1952032795,0.0307935158489,0.0148061217225,-0.4972208052578584,-1.716719230313297,4.170893205572222,1.0037991278946348,-0.026920409571065916,0.009999619317556847,31.50768637000016,120.40175301999999,12.549600005149841
1571030101.548,31.5076873,120.40175299,719.2740272733815,-0.5093485228135455,1.739302891879366,-3.3430712414554886,0.10311695912704447,-0.0028498397674507174,-0.004099999129835122,1.30887111256,0.031937446919,0.0111240180517,0.8230051153502134,1.8113051399757403,0.008151141550017494,0.9803096922111006,0.01945843398304407,0.03652506709123242,1.2982682808911785,0.035133370056716726,0.01890612085233512,-0.5093485228135456,-1.7393028918793665,4.171175237540163,1.0583961533035822,-0.028399571795160932,0.008327484255859236,31.50768739519932,120.40175302525279,12.54591790214181
1571030101.648,31.507688280000004,120.40175295,719.5146695473366,-0.49821161261364194,1.7626434859200588,-3.32009325337911,0.21177784089712437,-0.0066496301184469295,-0.008299996614759983,1.41666337805,0.0353314989134,0.010791058801,0.8211049164440553,1.7854766758800997,-0.006994702617994574,1.04668267029181,0.022689210727959656,0.035281580654000846,1.4068628965993548,0.04050319993822216,0.023106118337259982,-0.498211612613642,-1.7626434859200593,4.148197249463784,1.1195329212468386,-0.030194050483827724,0.005304484885472024,31.507688367706248,120.40175300592733,12.545584945939481
1571030101.748,31.507689319999997,120.40175292000002,719.7438526653888,-0.4985444473488502,1.7741023695947429,-3.3201482099623734,0.3270914283895141,-0.009499470068658075,-0.012299991354061207,1.51374195197,0.0358274390141,0.00926688046783,0.8253802448987589,1.7489730553821268,0.005542831578058172,1.1040341432261997,0.01581929281577646,0.026851408026338987,1.522123252478482,0.045019327784484864,0.02710611307656121,-0.4985444473488504,-1.7741023695947433,4.148252206047048,1.1874221935487352,-0.04111338949559785,0.0009815661431281117,31.507689243219946,120.40175301547686,12.544060772284865
1571030101.848,31.50769042,120.4017529,719.9558470495872,-0.46450374819286294,1.78655531597717,-3.3196716713472463,0.4490577237427733,-0.011399366287448962,-0.01599998455922655,1.62335499495,0.038653126744,0.00910135071168,0.8304707635195805,1.7215485411840807,-0.015781712323405722,1.1602170496151856,0.018665435132111587,0.030660840534577728,1.6440493505705063,0.04868176029508088,0.030806106281726548,-0.46450374819286305,-1.7865553159771703,4.147775667431921,1.2468773356347425,-0.04293144666053687,-0.0014215372097647807,31.507690232072456,120.40175300241091,12.543895249255002
1571030101.948,31.507691570000002,120.40175287,720.173571011737,-0.44278635133005345,1.8329089511731096,-3.3083883694477647,0.5765679429531758,-0.014249208393140256,-0.019799975029859446,1.75724292635,0.0422373177794,0.00933592123434,0.7892445929389863,1.6778095343636303,-0.03931494584003461,1.2320041203104481,0.018033229005492236,0.03416844697680105,1.7715050642613888,0.05337416380075813,0.03460609675235945,-0.4427863513300535,-1.83290895117311,4.1364923655324395,1.3090807650916685,-0.04677245381483376,-0.0025333833407484283,31.507691439933385,120.40175298505434,12.54412982892245
1571030102.048,31.507692770000002,120.40175283000002,720.397024551838,-0.42133791391474656,1.8908976880871906,-3.2968019064617757,0.7096220831185043,-0.018048995984099953,-0.023699961263345837,1.8893091041,0.0459781726906,0.00914967385468,0.7746332742725299,1.6138936965077773,-0.06514219822835675,1.3072953572645147,0.018633847805974126,0.03172416861630222,1.9044903906550195,0.05909653785798184,0.03850608298584584,-0.42133791391474656,-1.8908976880871908,4.12490590254645,1.3821241084426936,-0.05131348951469799,-0.0022835619796367354,31.507692631386274,120.4017529657716,12.543943595141172
1571030102.148,31.50769405,120.40175281,720.6720442935007,-0.3869593249731746,1.891884859234836,-3.2962378553799283,0.8515465014928081,-0.01994889153734486,-0.028499943206670098,2.04168331347,0.049435449764,0.0102982288263,0.7630544593744357,1.562597028492558,-0.08054900846163897,1.38402771338227,0.0229393392851279,0.04036173846948509,2.046372527254976,0.06304741723211638,0.0433060649291701,-0.3869593249731746,-1.8918848592348365,4.124341851464604,1.4453658536933756,-0.05567942528144777,0.005310421597905797,31.50769400593887,120.40175295256343,12.545092167332768
1571030102.248,31.50769537,120.40175277,721.010089392628,-0.352721439727863,1.904360412110835,-3.284254303396711,0.9979060564834729,-0.023748680775556613,-0.034399923243078834,2.18080306558,0.0512758585143,0.0125667529986,0.7853053485791112,1.5108349574434006,-0.08386355160360211,1.4258878738401424,0.02940858391843798,0.05827974240088613,2.1926618787683694,0.06896209128155209,0.04920604496557883,-0.352721439727863,-1.9043604121108355,4.112358299481385,1.4852629424676496,-0.048571071880682104,0.011250453710911145,31.507695260752765,120.40175295435755,12.54736071266234
1571030102.348,31.50769674,120.40175274,721.3939711153656,-0.35345578699645647,1.9502848962590527,-3.2500379850129915,1.1498095358474523,-0.026598520193795883,-0.041099895313952806,2.31279949213,0.0541216385991,0.0174183425349,0.7758473749422824,1.3200019466180108,-0.12591301816175407,1.473778389252644,0.017956527507604438,0.059095615615981964,2.344508304901802,0.074007039060937,0.0559060170364528,-0.35345578699645647,-1.9502848962590529,4.078141981097668,1.5471698408221561,-0.059148781531729554,0.021194227838143488,31.50769645145996,120.40175294448555,12.552212323993444
