        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw
1403715529262,0.598429,2.036416,1.158659,179.32270149490003,-69.09272615305012,-27.133917598932598,0.0540964650358,0.0756677796932,0.178910171141,-0.4125226872520025,21.86368471061938,3.0088874004011816,0.8216179273330423,1.9584877929602846,1.341204808581858,7.239691309920013,18.816734017155685,34.04552786392817,
1403715529362,0.61596,2.048048,1.197336,178.91264476688423,-68.32898252235304,-24.478901577275092,0.0737589401136,0.0972352958901,0.223214569724,-0.3607434506743569,24.192978099815573,5.295754868304322,0.8495795446450608,1.965029245742989,1.3858143116913733,8.567285380463238,20.78341399531913,36.761927941567926,
1403715529462,0.636248,2.059395,1.228895,178.3098613630861,-68.21002653878502,-21.639891358125407,0.0960943778865,0.11459164364,0.256610426255,0.3654497330959624,25.662840541163266,7.558764808784809,0.8777514656680072,1.9672600790651507,1.4192323318261342,9.994863299857636,21.690949814009265,39.23598550497013,
1403715529562,0.659287,2.07023,1.252363,177.8905278186489,-68.33727456118598,-19.563670539573813,0.116978963633,0.130884103615,0.277331457722,0.9463001043514963,26.121770235806583,9.299741730921568,0.9040592440813315,1.9700372216126214,1.4399967146275263,10.733128476037445,21.80698202895426,40.996873008704675,
1403715529662,0.684245,2.080816,1.268489,177.46899449663476,-68.66337186534132,-17.97456153656011,0.11980892082,0.144998550973,0.284736324008,0.6481141373515901,23.51808278409643,10.222053570262146,0.913463062818844,1.9805110968800534,1.447991991774057,9.03306915610817,19.727081105388613,41.44145994815408,
1403715529762,0.711914,2.092386,1.282884,176.29493516695453,-68.8346756110663,-15.902606114315521,0.124030577716,0.17024824627,0.298680628905,-1.2753206163100732,20.88902389250632,10.926593386743653,0.9295561428790708,1.9996152107221317,1.4630205894160002,5.983411525709584,18.394958162116268,41.87689300614787,
1403715529862,0.741538,2.105394,1.300957,176.44922808452458,-69.02896613079211,-15.40103467956747,0.134427954864,0.196462873608,0.316415333014,-2.0450329545279358,19.424184295111278,11.444505000280124,0.9515339295168309,2.0163245201034283,1.4816648309497003,4.541564228902318,17.50814065294038,42.21563278230234,
1403715529962,0.772285,2.120046,1.323772,177.22630223875433,-69.54301896761987,-15.728510370766282,0.149514236041,0.224994943816,0.33714523169,-2.149371127346813,18.275443460941187,11.821579299159621,0.9787537865908111,2.0325895237293232,1.5032503040078637,3.8396149136674276,16.57062018995946,42.420718571520034,
1403715530062,0.803927,2.13547,1.351244,175.62774018594888,-70.53142570336615,-13.957966463508711,0.166969680166,0.254982722262,0.362697924153,-2.85460916895828,17.007906274874173,11.956778850379965,1.00878180480499,2.048677887083888,1.5296393578851148,2.5663170123308094,15.820170804323963,42.4145036752153,
1403715530162,0.834792,2.153868,1.382883,172.48059409215807,-71.17750246812777,-10.910320805528556,0.184622621327,0.285070679393,0.393828553818,-3.726494336227645,16.25538250599055,11.832231256931586,1.0390656937297884,2.064419801963828,1.5615941038048247,1.4221288558027094,15.594393112973947,42.22974680931496,
1403715530262,0.864036,2.177628,1.422437,170.21910979465449,-70.39589990224768,-8.858016813938708,0.199099091812,0.31874838636,0.434665498334,-4.501792983971431,17.08201452420603,11.463619095071978,1.068389096233811,2.0842486842820493,1.603526974840067,1.1922159152049698,16.68350603200716,42.019616702460375,
1403715530362,0.893599,2.20816,1.475806,170.39202160102278,-69.77395938820504,-9.158973017540536,0.211230733969,0.36173400841,0.488711236904,-4.511278965516909,17.747911691312012,11.279005331614247,1.1002900736122134,2.11253064857275,1.6591897131861983,1.5385580932844158,17.261234921739387,41.938944536543026,
1403715530462,0.924487,2.245461,1.541009,173.325221403565,-69.57193682972307,-11.751757603750118,0.220286111944,0.410227877434,0.553941910719,-3.445175183882672,18.214576088457324,11.760801169735903,1.1322634239750349,2.1464331277029474,1.7263985130932695,2.7007872257120185,17.1454076172937,42.435372599958626,
1403715530562,0.9568,2.28751,1.608051,174.98674616381686,-69.47801355655938,-12.47123240637946,0.225241319993,0.458578496772,0.621120728394,-2.435474058554439,18.422970779813436,12.85656172647627,1.1606002344964745,2.1820887670314297,1.7956879825308192,3.6740824822408378,16.835892850016563,43.49819200200496,
1403715530662,0.988997,2.332073,1.664157,176.0804850256482,-69.58854890829072,-12.656737989573276,0.2288389284,0.50557626227,0.677762276405,-1.6625395815592996,18.51329989813978,13.852055854779247,1.1870265408624698,2.2178641335536997,1.8544397585991674,4.380753196417469,16.540201116837583,44.45176577946682,
