        time,ref_pose_x,ref_pose_y,ref_pose_z,        ref_roll,ref_pitch,ref_yaw,        algo_pose_x,algo_pose_y,algo_pose_z,        algo_roll,algo_pitch,algo_yaw,        align_pose_x,align_pose_y,align_pose_z,        align_roll,align_pitch,align_yaw,,        align_pose_x,align_pose_y,align_pose_z
1.40364E+12,4.614772,-1.828672,0.816032,-175.6116659,-70.10349918,158.2927917,0.014211443,-0.071151806,0.234993423,-177.6846132,-70.7937505,4.303382536,4.614772,-1.828672,0.816032,-175.6116659,-70.10349918,158.2927917,,4.614772,-1.828672,0.816032
1.40364E+12,4.610965,-1.825128,0.863199,-178.0159468,-71.42580916,159.9129543,0.017778237,-0.072246753,0.279052894,179.8647554,-72.20155563,6.217942416,4.611205206,-1.827577053,0.860091472,181.9377028,-71.5113043,160.2073516,,4.618338794,-1.829766946,0.860091472
1.40364E+12,4.609292,-1.823567,0.906944,179.535154,-72.17054438,161.7924177,0.018176023,-0.072929487,0.31927074,177.4035744,-73.0650058,8.246995658,4.61080742,-1.826894319,0.900309318,179.4765218,-72.37475448,162.2364048,,4.61873658,-1.830449681,0.900309318
1.40364E+12,4.610414,-1.822605,0.940993,179.0468221,-72.39522376,161.926276,0.017549316,-0.074653892,0.351535093,177.5285877,-73.3821725,8.461041694,4.611434127,-1.825169914,0.93257367,179.601535,-72.69192117,162.4504509,,4.618109873,-1.832174086,0.93257367
1.40364E+12,4.61224,-1.818754,0.951655,179.4240573,-71.99974081,161.0919074,0.01975456,-0.079555222,0.363277698,178.9220083,-73.00205769,7.545568094,4.609228883,-1.820268584,0.944316276,180.9949557,-72.31180636,161.5349773,,4.620315117,-1.837075416,0.944316276
1.40364E+12,4.614639,-1.814363,0.929578,-179.5943341,-71.15150282,160.0289171,0.02298714,-0.088117245,0.345019987,-177.5438799,-72.09088761,6.228226286,4.605996303,-1.811706561,0.926058564,-175.4709326,-71.40063628,160.2176354,,4.623547697,-1.845637439,0.926058564
1.40364E+12,4.618533,-1.813117,0.881456,-177.5257499,-69.5868706,158.2166134,0.02290863,-0.091934358,0.297500703,-174.5160503,-70.40549432,4.416028744,4.606074813,-1.807889448,0.87853928,-172.443103,-69.71524299,158.4054379,,4.623469187,-1.849454552,0.87853928
1.40364E+12,4.623504,-1.812416,0.822097,-176.4404662,-67.09372294,157.0040042,0.020434157,-0.093918765,0.239125667,-173.303281,-67.71988633,3.514152731,4.608549286,-1.805905041,0.820164245,-171.2303336,-67.029635,157.5035619,,4.620994714,-1.851438959,0.820164245
1.40364E+12,4.629125,-1.81338,0.765,-175.4323329,-64.36938462,155.9363021,0.015087082,-0.095240183,0.182386904,-172.672036,-65.01063171,2.683239533,4.613896361,-1.804583623,0.763425482,-170.5990887,-64.32038039,156.6726487,,4.61564764,-1.852760377,0.763425482
1.40364E+12,4.634025,-1.814767,0.71997,-174.4783115,-62.21921645,155.2553131,0.00961071,-0.09607731,0.13704731,-172.2759827,-62.85935723,1.995213471,4.619372733,-1.803746496,0.718085888,-170.2030353,-62.1691059,155.9846226,,4.610171268,-1.853597504,0.718085888
1.40364E+12,4.638162,-1.815817,0.689073,-174.1227749,-61.35191001,155.4917967,0.003665563,-0.097378182,0.10739798,-172.6990572,-61.92425512,1.973566935,4.62531788,-1.802445624,0.688436558,-170.6261098,-61.23400379,155.9629761,,4.60422612,-1.854898375,0.688436558
1.40364E+12,4.641532,-1.816127,0.681114,-175.6918634,-61.41854583,157.3131716,-0.000544037,-0.098827637,0.099796195,-174.8989585,-61.78662191,3.531581556,4.62952748,-1.800996169,0.680834773,-172.8260111,-61.09637058,157.5209907,,4.600016521,-1.856347831,0.680834773
1.40364E+12,4.642317,-1.815358,0.699657,-176.9809243,-61.54738908,158.95099,-0.00271636,-0.100029317,0.119624046,-176.6081306,-61.62216166,4.960818338,4.631699803,-1.799794489,0.700662623,-174.5351832,-60.93191033,158.9502275,,4.597844198,-1.857549511,0.700662623
1.40364E+12,4.640542,-1.813174,0.742714,-177.57353,-62.01454424,159.9019644,-0.001421612,-0.101155889,0.163848439,-177.344716,-61.95332969,5.827452767,4.630405055,-1.798667917,0.744887017,-175.2717686,-61.26307837,159.8168619,,4.599138945,-1.858676083,0.744887017
1.40364E+12,4.63603,-1.809537,0.800072,-177.5814597,-63.62989648,159.9244247,0.002809229,-0.102424177,0.222307021,-177.4292894,-63.48152038,5.77413694,4.626174214,-1.797399629,0.803345599,-175.3563421,-62.79126905,159.7635461,,4.603369786,-1.859944371,0.803345599
1.40364E+12,4.629793,-1.804637,0.862069,-177.7087497,-66.20277059,159.9704235,0.008485036,-0.104314301,0.285427078,-177.6348192,-66.01261674,5.767024155,4.620498407,-1.795509505,0.866465655,-175.5618719,-65.32236541,159.7564333,,4.609045593,-1.861834495,0.866465655
1.40364E+12,4.624456,-1.799716,0.923626,-177.3896235,-69.02082513,159.6564798,0.013136941,-0.106788125,0.347920504,-177.2818839,-68.84685187,5.448482624,4.615846502,-1.793035681,0.928959081,-175.2089365,-68.15660054,159.4378918,,4.613697498,-1.864308319,0.928959081
1.40364E+12,4.628783,-1.798197,0.979424,-176.3280802,-71.26558406,158.3665094,0.016469751,-0.109961224,0.399013895,-176.2798265,-71.10042388,4.192759106,4.612513692,-1.789862582,0.980052472,-174.2068792,-70.41017255,158.1821683,,4.617030309,-1.867481418,0.980052472
1.40364E+12,4.627604,-1.794285,1.005275,-175.8528468,-72.6469621,157.5981125,0.018704084,-0.11299228,0.423762205,-175.9171065,-72.49214456,3.500688383,4.610279359,-1.786831526,1.004800782,-173.8441591,-71.80189323,157.4900975,,4.619264641,-1.870512473,1.004800782
1.40364E+12,4.626729,-1.791286,0.996793,-176.1838233,-72.51122681,157.6914754,0.019870038,-0.115273327,0.415160797,-176.3987927,-72.32421223,3.680784402,4.609113405,-1.784550479,0.996199375,-174.3258453,-71.6339609,157.6701936,,4.620430595,-1.872793521,0.996199375
1.40364E+12,4.626201,-1.790791,0.958711,-175.9511044,-71.26216839,157.6643879,0.020614511,-0.115957883,0.377119258,-176.1005,-71.02243634,3.647116921,4.608368932,-1.783865923,0.958157835,-174.0275526,-70.33218501,157.6365261,,4.621175068,-1.873478076,0.958157835
1.40364E+12,4.626909,-1.792359,0.905987,-176.6775347,-69.90859215,158.5622684,0.019523843,-0.115185212,0.323788982,-176.6893422,-69.62426351,4.492560619,4.6094596,-1.784638594,0.904827559,-174.6163948,-68.93401218,158.4819698,,4.6200844,-1.872705406,0.904827559
1.40364E+12,4.628704,-1.796927,0.848892,-176.1004891,-68.32092095,158.4421363,0.015444097,-0.112334921,0.266022036,-176.0848075,-68.02156559,4.3951598,4.613539346,-1.787488885,0.847060613,-174.0118601,-67.33131426,158.384569,,4.616004655,-1.869855115,0.847060613
1.40364E+12,4.630693,-1.803164,0.791048,-175.1128324,-65.92167273,157.7847511,0.010530369,-0.107996651,0.20751464,-175.081019,-65.62112139,3.77039162,4.618453074,-1.791827155,0.788553218,-173.0080716,-64.93087006,157.7598008,,4.611090926,-1.865516845,0.788553218
1.40364E+12,4.633934,-1.809455,0.73636,-174.1089417,-63.96098769,156.9239795,0.00556898,-0.102591061,0.154548757,-174.0318551,-63.65329125,2.945945466,4.623414463,-1.797232745,0.735587334,-171.9589077,-62.96303992,156.9353546,,4.606129538,-1.860111255,0.735587334
1.40364E+12,4.635776,-1.814168,0.698114,-173.6414689,-62.92495499,156.8230948,0.001667568,-0.099204589,0.116037686,-173.5853731,-62.65725228,2.864000229,4.627315875,-1.800619217,0.697076264,-171.5124258,-61.96700095,156.8534094,,4.602228126,-1.856724783,0.697076264
1.40364E+12,4.637736,-1.81545,0.685514,-175.5082513,-62.15007894,158.7408546,-0.00088996,-0.09894527,0.10322155,-175.4357086,-61.89265867,4.763071796,4.629873403,-1.800878536,0.684260127,-173.3627613,-61.20240734,158.752481,,4.599670598,-1.856465464,0.684260127
